LocationKey,Neighbourhood,AdministrativeRegion
1,Aeroporto,"Continental / Goiabeiras (Zona Norte)"
2,Andorinhas,Maruípe
3,"Antônio honório","Continental / Goiabeiras (Zona Norte)"
4,"Ariovaldo favalessa","Santo Antônio"
5,"Barro vermelho","Praia do Canto (Zona Leste)"
6,"Bela vista","Santo Antônio"
7,"Bento ferreira",Jucutuquara
8,"Boa vista","Jardim da Penha"
9,Bonfim,Maruípe
10,Caratoíra,"Santo Antônio"
11,Centro,"Centro (Zona Sul)"
12,Comdusa,"São Pedro (Zona Oeste)"
13,Conquista,"São Pedro (Zona Oeste)"
14,Consolação,Jucutuquara
15,Cruzamento,Jucutuquara
16,"Da penha",Maruípe
17,"De lourdes",Jucutuquara
18,"Do cabral","Santo Antônio"
19,"Do moscoso","Centro (Zona Sul)"
20,"Do quadro","Santo Antônio"
21,"Enseada do suá","Praia do Canto (Zona Leste)"
22,Estrelinha,"Santo Antônio"
23,"Fonte grande","Centro (Zona Sul)"
24,"Forte são joão",Jucutuquara
25,Fradinhos,Jucutuquara
26,Goiabeiras,"Continental / Goiabeiras (Zona Norte)"
27,"Grande vitória","Santo Antônio"
28,Gurigica,Jucutuquara
29,Horto,Jucutuquara
30,"Ilha das caieiras","São Pedro (Zona Oeste)"
31,"Ilha de santa maria",Jucutuquara
32,"Ilha do boi","Praia do Canto (Zona Leste)"
33,"Ilha do frade","Praia do Canto (Zona Leste)"
34,"Ilha do príncipe","Centro (Zona Sul)"
35,"Ilhas oceânicas de trindade","Military zone"
36,Inhanguetá,"Santo Antônio"
37,Itararé,Maruípe
38,Jabour,"Continental / Goiabeiras (Zona Norte)"
39,"Jardim camburi","Jardim Camburi"
40,"Jardim da penha","Jardim da Penha"
41,"Jesus de nazareth",Jucutuquara
42,"Joana d´arc",Maruípe
43,Jucutuquara,Jucutuquara
44,"Maria ortiz","Continental / Goiabeiras (Zona Norte)"
45,"Mário cypreste","Santo Antônio"
46,Maruípe,Maruípe
47,"Mata da praia","Jardim da Penha"
48,"Monte belo",Jucutuquara
49,"Morada de camburi","Jardim da Penha"
50,Nazareth,Jucutuquara
51,"Nova palestina","São Pedro (Zona Oeste)"
52,"Parque industrial","Jardim Camburi"
53,"Parque moscoso","Centro (Zona Sul)"
54,Piedade,"Centro (Zona Sul)"
55,"Pontal de camburi","Jardim da Penha"
56,"Praia do canto","Praia do Canto (Zona Leste)"
57,"Praia do suá","Praia do Canto (Zona Leste)"
58,Redenção,"São Pedro (Zona Oeste)"
59,República,"Jardim da Penha"
60,Resistência,"São Pedro (Zona Oeste)"
61,Romão,Jucutuquara
62,"Santa cecília",Maruípe
63,"Santa clara","Centro (Zona Sul)"
64,"Santa helena","Praia do Canto (Zona Leste)"
65,"Santa lúcia","Praia do Canto (Zona Leste)"
66,"Santa luíza","Praia do Canto (Zona Leste)"
67,"Santa martha",Maruípe
68,"Santa tereza","Santo Antônio"
69,"Santo andré","São Pedro (Zona Oeste)"
70,"Santo antônio","Santo Antônio"
71,"Santos dumont",Maruípe
72,"Santos reis","São Pedro (Zona Oeste)"
73,"São benedito",Maruípe
74,"São cristóvão",Maruípe
75,"São josé","São Pedro (Zona Oeste)"
76,"São pedro","São Pedro (Zona Oeste)"
77,"Segurança do lar","Continental / Goiabeiras (Zona Norte)"
78,"Solon borges","Continental / Goiabeiras (Zona Norte)"
79,Tabuazeiro,Maruípe
80,Universitário,"Santo Antônio"
81,"Vila rubim","Centro (Zona Sul)"
